hl_id,bl_form10,matchid,bl_form5,bl_slutmal,hl_form5,bl_namn,hl_form10,omgang,hl_pos,hl_namn,hl_slutmal,sasong,bl_pos,bl_id
9371,3,2129759,3,1,-2,Helsingborg,-4,12,16,Halmstad,0,2013-03-31T00:00+0100,1,9373
9394,0,2129796,-1,1,-3,Mjällby,-5,17,14,Öster,1,2013-03-31T00:00+0100,8,9389
9374,-3,2129797,-2,2,0,Brommapojkarna,0,17,6,Kalmar FF,2,2013-03-31T00:00+0100,15,19721
9393,-1,2129800,-1,1,1,Elfsborg,0,17,7,Åtvidaberg,1,2013-03-31T00:00+0100,5,9369
9400,1,2129795,2,0,-1,Malmö FF,-2,17,12,Gefle,2,2013-03-31T00:00+0100,2,9375
9370,3,2129801,0,4,0,Helsingborg,1,17,4,IFK Göteborg,2,2013-03-31T00:00+0100,1,9373
9371,-7,2129799,-5,1,-2,Syrianska,-5,17,13,Halmstad,1,2013-03-31T00:00+0100,16,23026
9394,-4,2129805,-1,0,-3,Brommapojkarna,-4,18,13,Öster,0,2013-03-31T00:00+0100,14,19721
9374,-6,2129806,-4,0,0,Syrianska,-1,18,5,Kalmar FF,1,2013-03-31T00:00+0100,16,23026
9367,-1,2129807,-2,1,2,Elfsborg,2,18,3,AIK,2,2013-03-31T00:00+0100,6,9369
9393,0,2129809,0,1,0,Gefle,0,18,7,Åtvidaberg,1,2013-03-31T00:00+0100,12,9400
9371,1,2129808,2,3,-1,Malmö FF,-4,18,15,Halmstad,1,2013-03-31T00:00+0100,2,9375
9370,-5,2129810,-4,1,-1,Häcken,-1,18,4,IFK Göteborg,3,2013-03-31T00:00+0100,11,19740
9376,-1,2129803,-1,2,-2,Mjällby,-2,18,9,Norrköping,3,2013-03-31T00:00+0100,8,9389
9368,2,2129804,0,1,-1,Helsingborg,1,18,10,Djurgården,2,2013-03-31T00:00+0100,1,9373
19721,1,2129812,-1,0,-1,Djurgården,-4,19,14,Brommapojkarna,3,2013-03-31T00:00+0100,10,9368
9369,1,2129815,1,0,-3,Kalmar FF,-1,19,5,Elfsborg,1,2013-03-31T00:00+0100,6,9374
9393,-4,2129817,-2,1,0,Halmstad,1,19,7,Åtvidaberg,0,2013-03-31T00:00+0100,15,9371
